,x,x,x,x,x,x,x,x,x,x,y,y,y,a,a,a,a,a,z,z,z,z,z,u,u,u,u
874,1,69,19,1,1,1,0,7,0,,0,1,0,,,,2,,361,1,7,1,0,0,1,0,0
875,9,64,24,0,1,0,1,7,1,15,1,1,1,,,,4,,576,1,7,1,0,0,0,0,0
876,7,62,26,1,1,1,0,7,1,21,1,1,1,,,,4,,676,1,7,1,0,0,0,0,0
877,6,63,25,0,1,0,1,0,1,21,1,1,1,,,,6,,625,1,0,0,0,0,1,1,0
878,10,71,17,0,1,0,1,6,0,,0,1,0,,,,6,,289,1,6,1,0,0,0,0,0
879,6,52,36,0,1,0,0,7,1,21,1,1,0,12,77,25,3,0,1296,1,7,0,1,0,1,0,1
880,7,65,23,0,1,0,0,0,2,16,2,1,1,12,85,20,2,7,529,1,0,1,0,0,0,1,1
881,6,66,22,0,1,0,0,0,0,,0,1,1,11,86,20,6,10,484,1,0,0,1,0,1,1,1
882,10,69,19,0,1,1,0,10,0,,0,1,0,,,,6,,361,1,10,1,0,0,0,0,0
883,4,52,36,0,1,0,0,5,2,21,1,1,0,,,,7,,1296,1,5,1,0,0,1,0,0
884,9,60,28,0,0,0,0,9,3,18,3,1,1,12,80,20,4,4,784,1,9,1,0,0,0,0,1
885,8,70,18,0,0,0,0,7,0,,0,1,0,,,,4,,324,1,7,0,0,1,0,0,0
886,6,52,36,0,1,0,1,7,3,20,3,1,0,12,81,29,6,0,1296,1,7,0,0,1,1,0,1
887,9,72,16,0,1,0,1,6,0,,0,1,0,,,,2,,256,1,6,0,0,1,0,0,0
888,7,66,22,0,1,0,0,7,1,19,1,1,1,,,,4,,484,1,7,0,1,0,0,0,0
889,4,63,25,0,1,0,0,11,1,18,1,1,1,,,,4,,625,1,11,0,0,1,1,0,0
890,9,49,39,0,1,0,0,2,2,23,2,1,1,1,69,19,6,0,1521,1,2,1,0,0,0,0,1
891,6,60,28,0,1,0,0,3,2,21,2,1,1,3,80,19,6,,784,1,3,1,0,0,1,0,1
892,2,62,26,0,1,0,0,7,2,20,2,1,0,11,85,23,4,8,676,1,7,1,0,0,1,0,1
893,7,66,22,0,1,0,0,9,0,,0,1,0,,,,2,,484,1,9,0,1,0,0,0,0
894,2,69,19,0,1,0,0,9,0,,0,1,1,,,,4,,361,1,9,0,1,0,1,0,0
895,1,44,44,0,0,0,0,4,7,16,7,1,0,1,60,16,4,7,1936,1,4,0,1,0,1,0,1
896,7,60,28,0,1,0,0,10,3,16,3,1,0,1,74,13,5,10,784,1,10,0,1,0,0,0,1
897,2,62,26,0,0,0,0,7,2,17,2,1,1,3,79,17,4,10,676,1,7,0,1,0,1,0,1
898,10,50,38,0,0,0,1,4,5,19,5,1,1,10,69,19,5,4,1444,1,4,1,0,0,0,0,1
899,5,70,18,0,0,0,1,10,0,,0,1,1,,,,3,,324,1,10,1,0,0,1,0,0
900,11,72,16,0,0,0,1,9,0,,0,1,0,,,,2,,256,1,9,1,0,0,0,0,0
901,3,62,26,0,1,0,0,7,1,24,1,1,1,,,,1,,676,1,7,1,0,0,1,0,0
902,3,69,19,0,1,0,0,9,0,,0,1,0,,,,4,,361,1,9,0,1,0,1,0,0
903,2,70,18,0,1,0,0,12,0,,0,1,1,,,,4,,324,1,12,0,1,0,1,0,0
904,7,55,33,0,1,0,1,7,5,19,5,1,1,10,76,21,6,9,1089,1,7,0,0,1,0,0,1
905,11,65,23,0,1,0,1,6,1,22,1,1,0,,,,6,,529,1,6,0,0,1,0,0,0
906,2,64,24,0,1,0,1,5,2,19,2,1,0,,,,6,,576,1,5,1,0,0,1,0,0
907,12,66,21,0,1,0,0,10,1,21,1,1,0,,,,2,,441,1,10,0,0,1,0,0,0
908,11,71,17,0,1,0,0,10,0,,0,1,0,,,,4,,289,1,10,0,0,1,0,0,0
909,11,62,26,0,0,0,1,7,3,20,3,1,0,,,,3,,676,1,7,1,0,0,0,0,0
910,2,71,17,0,0,0,0,10,0,,0,1,0,,,,6,,289,1,10,1,0,0,1,0,0
911,9,71,17,0,0,0,0,9,0,,0,1,0,,,,6,,289,1,9,1,0,0,0,0,0
912,5,61,27,0,1,0,0,10,1,20,1,1,1,,,,3,,729,1,10,0,1,0,1,0,0
913,7,46,42,0,1,0,0,10,2,17,2,1,1,,,,4,,1764,1,10,0,0,1,0,0,0
914,8,63,25,0,1,0,0,10,1,20,1,1,1,,,,4,,625,1,10,0,0,1,0,0,0
915,10,60,28,0,1,0,0,12,1,21,1,1,1,,,,10,,784,1,12,0,0,1,0,0,0
916,1,69,19,0,1,0,0,12,0,,0,1,0,,,,4,,361,1,12,0,0,1,1,0,0
917,10,64,24,0,1,0,1,7,1,22,1,1,0,12,86,22,5,7,576,1,7,1,0,0,0,0,1
918,12,69,18,0,0,0,0,7,2,16,2,1,0,9,87,17,5,0,324,1,7,0,0,0,0,0,1
919,1,64,24,0,0,0,0,5,3,15,3,1,0,,,,5,,576,1,5,0,0,0,1,0,0
920,1,67,21,0,0,0,0,7,1,19,1,1,0,1,87,20,4,7,441,1,7,0,0,0,1,0,1
921,6,61,27,1,0,0,0,2,1,14,1,1,0,1,88,26,10,,729,1,2,0,0,0,1,0,1
922,10,72,16,0,0,0,1,7,0,,0,1,1,,,,4,,256,1,7,1,0,0,0,0,0
923,1,54,34,0,0,0,0,0,7,18,7,1,0,,,,5,,1156,1,0,0,0,1,1,1,0
924,6,57,31,0,1,0,0,0,3,18,3,1,1,6,71,14,6,7,961,1,0,1,0,0,1,1,1
925,3,47,41,0,0,0,0,0,1,34,1,1,0,11,80,33,5,1,1681,1,0,1,0,0,1,1,1
926,8,71,17,0,0,0,0,7,1,14,1,1,1,7,88,16,6,5,289,1,7,1,0,0,0,0,1
927,10,60,28,0,1,0,0,7,2,18,2,1,1,,,,4,,784,1,7,1,0,0,0,0,0
928,1,58,30,0,1,0,0,5,1,26,1,1,0,2,86,28,5,7,900,1,5,1,0,0,1,0,1
929,7,66,22,0,1,0,0,7,0,,0,1,1,,,,4,,484,1,7,0,0,0,0,0,0
930,1,69,19,0,1,0,0,7,1,18,0,1,1,,,,3,,361,1,7,0,0,0,1,0,0
931,10,61,27,0,1,0,0,6,4,18,4,1,1,3,85,23,3,0,729,1,6,1,0,0,0,0,1
932,1,53,35,0,1,0,1,1,1,17,1,1,0,10,69,16,5,0,1225,1,1,1,0,0,1,0,1
933,12,70,17,0,0,0,0,6,1,17,1,1,0,6,87,16,4,8,289,1,6,1,0,0,0,0,1
934,3,49,39,0,1,0,1,0,8,19,6,1,1,6,67,18,4,7,1521,1,0,1,0,0,1,1,1
935,8,72,16,0,1,0,1,9,0,,0,1,0,,,,4,,256,1,9,1,0,0,0,0,0
936,10,57,31,0,1,0,1,0,7,12,7,1,1,,,,7,,961,1,0,1,0,0,0,1,0
937,5,48,40,0,1,0,1,7,7,21,7,1,0,10,84,36,8,3,1600,1,7,1,0,0,1,0,1
938,12,52,35,0,1,0,1,6,6,16,6,1,1,3,69,16,6,7,1225,1,6,1,0,0,0,0,1
939,1,58,30,0,1,0,0,7,4,22,4,1,1,2,86,28,8,10,900,1,7,0,0,0,1,0,1
940,6,55,33,0,0,0,0,0,6,18,5,1,0,4,73,17,9,7,1089,1,0,1,0,0,1,1,1
941,9,61,27,0,0,0,0,4,1,19,1,1,0,,,,4,,729,1,4,0,0,0,0,0,0
942,6,62,26,0,1,0,0,4,5,14,5,1,1,3,81,18,8,2,676,1,4,1,0,0,1,0,1
943,10,57,31,0,1,0,1,3,4,17,4,1,1,6,74,16,5,,961,1,3,1,0,0,0,0,1
944,10,67,21,0,0,0,0,7,0,,0,1,0,12,87,20,6,0,441,1,7,0,1,0,0,0,1
945,1,61,27,0,1,0,0,4,4,20,4,1,0,6,81,20,,7,729,1,4,0,0,0,1,0,1
946,7,63,25,0,1,0,0,7,3,19,3,1,1,6,86,22,6,7,625,1,7,0,0,0,0,0,1
947,6,69,19,0,1,0,0,7,1,17,0,1,1,7,84,15,6,10,361,1,7,1,0,0,1,0,1
948,5,63,25,0,1,0,1,7,2,18,2,1,1,1,83,19,5,7,625,1,7,0,0,0,1,0,1
949,1,68,20,0,1,0,1,7,1,17,1,1,0,6,88,20,6,7,400,1,7,1,0,0,1,0,1
950,12,70,17,0,1,0,1,7,0,,0,1,0,,,,4,,289,1,7,1,0,0,0,0,0
951,12,59,28,0,1,0,1,7,3,17,2,1,1,5,84,24,4,10,784,1,7,0,0,0,0,0,1
952,12,66,21,0,1,0,0,10,2,17,2,1,1,3,86,19,4,7,441,1,10,1,0,0,0,0,1
953,12,67,20,0,0,0,1,7,1,19,1,1,1,,,,4,,400,1,7,1,0,0,0,0,0
954,2,64,24,0,0,0,0,6,3,18,3,1,1,2,81,17,4,0,576,1,6,1,0,0,1,0,1
955,5,61,27,0,1,0,1,5,4,19,4,1,1,10,83,22,4,7,729,1,5,1,0,0,1,0,1
956,9,67,21,0,1,0,0,7,1,20,1,1,0,,,,3,,441,1,7,1,0,0,0,0,0
957,12,69,18,0,1,0,1,3,0,,0,1,0,,,,7,,324,1,3,1,0,0,0,0,0
958,10,51,37,0,0,0,1,0,2,15,1,1,0,6,68,16,4,0,1369,1,0,1,0,0,0,1,1
959,4,73,15,0,0,0,1,7,0,,0,1,0,,,,4,,225,1,7,1,0,0,1,0,0
960,3,47,41,0,0,0,0,7,6,18,6,1,0,7,64,17,6,7,1681,1,7,0,0,0,1,0,1
961,4,69,19,0,1,0,1,10,0,,0,1,1,,,,4,,361,1,10,0,0,0,1,0,0
962,2,52,36,0,1,0,1,4,4,16,3,1,1,10,67,15,5,0,1296,1,4,1,0,0,1,0,1
963,8,56,32,0,1,0,1,3,6,21,4,1,0,6,76,19,8,2,1024,1,3,0,1,0,0,0,1
964,5,50,38,0,1,0,0,0,7,18,6,1,0,12,66,16,,4,1444,1,0,0,1,0,1,1,1
965,4,47,41,0,1,0,0,0,3,16,3,1,0,12,58,11,4,0,1681,1,0,0,0,0,1,1,1
966,7,70,18,0,1,0,1,7,0,,0,1,1,9,88,18,2,7,324,1,7,1,0,0,0,0,1
967,5,64,24,0,1,0,1,7,0,,0,1,1,,,,0,,576,1,7,1,0,0,1,0,0
968,2,68,20,0,1,0,0,7,2,16,2,1,1,9,83,15,2,5,400,1,7,0,0,0,1,0,1
969,6,49,39,0,1,0,1,3,5,19,4,1,1,6,71,22,4,3,1521,1,3,1,0,0,1,0,1
970,7,64,24,0,0,0,0,7,4,16,4,1,1,,,,6,,576,1,7,1,0,0,0,0,0
971,5,61,27,0,1,0,0,7,2,16,2,1,0,12,75,14,4,8,729,1,7,0,1,0,1,0,1
972,10,68,20,0,0,0,0,10,0,,0,1,1,,,,4,,400,1,10,0,1,0,0,0,0
973,7,41,47,0,0,0,1,2,5,26,5,1,0,5,66,24,,5,2209,1,2,0,1,0,0,0,1
974,10,68,20,0,0,0,1,8,0,,0,1,0,,,,3,,400,1,8,0,0,0,0,0,0
975,7,52,36,0,1,0,0,0,7,13,6,1,0,,,,6,,1296,1,0,1,0,0,0,1,0
976,9,68,20,0,1,0,0,7,2,18,2,1,0,,,,2,,400,1,7,1,0,0,0,0,0
977,4,70,18,0,1,0,0,6,2,13,1,1,0,,,,5,,324,1,6,1,0,0,1,0,0
978,6,57,31,0,0,0,0,0,5,18,4,1,,11,79,22,6,4,961,1,0,0,0,0,1,1,1
979,11,60,27,0,0,0,0,7,1,20,1,1,1,10,87,26,,4,729,1,7,0,0,0,0,0,1
980,6,61,27,0,1,0,0,5,3,21,3,1,1,,,,5,,729,1,5,0,1,0,1,0,0
981,11,72,16,0,0,0,0,6,0,,0,1,0,,,,4,,256,1,6,1,0,0,0,0,0
982,10,62,26,0,0,0,0,7,0,,0,1,1,3,80,17,6,10,676,1,7,1,0,0,0,0,1
983,12,56,31,0,1,0,1,4,7,17,7,1,1,12,76,20,7,6,961,1,4,0,0,0,0,0,1
984,9,69,19,0,1,0,1,10,0,,0,1,1,,,,4,,361,1,10,0,0,0,0,0,0
985,6,70,18,0,1,0,1,7,0,,0,1,1,,,,8,,324,1,7,0,0,0,1,0,0
986,6,62,26,0,1,0,1,7,3,18,3,1,1,1,88,25,4,7,676,1,7,1,0,0,1,0,1
987,6,69,19,0,1,0,0,4,1,19,1,1,1,5,87,17,4,7,361,1,4,1,0,0,1,0,1
988,1,72,16,0,1,0,0,7,0,,0,1,0,,,,6,,256,1,7,0,0,1,1,0,0
989,12,63,24,0,1,0,0,7,2,18,2,1,0,11,80,16,0,0,576,1,7,1,0,0,0,0,1
990,3,67,21,0,1,0,0,8,2,17,2,1,,4,84,17,2,10,441,1,8,1,0,0,1,0,1
991,3,46,42,0,1,0,0,0,8,18,8,1,,6,64,18,4,6,1764,1,0,1,0,0,1,1,1
992,12,56,31,0,0,0,0,0,6,18,6,1,1,,,,6,,961,1,0,1,0,0,0,1,0
993,11,71,17,0,0,0,0,6,1,15,1,1,1,,,,2,,289,1,6,1,0,0,0,0,0
994,7,71,17,0,0,0,1,6,1,15,1,1,1,,,,5,,289,1,6,0,0,1,0,0,0
995,3,63,25,0,0,0,1,3,4,14,4,1,1,10,75,12,5,0,625,1,3,0,0,0,1,0,1
996,3,65,23,0,0,0,0,6,2,20,2,1,0,10,81,16,6,0,529,1,6,1,0,0,1,0,1
997,7,53,35,0,1,0,0,0,5,19,5,1,0,6,77,23,6,5,1225,1,0,0,0,0,0,1,1
998,12,55,32,0,0,0,0,7,5,19,5,1,1,9,74,18,7,0,1024,1,7,0,0,0,0,0,1
999,5,42,46,0,1,0,0,6,4,20,4,1,0,,,,4,,2116,1,6,1,0,0,1,0,0
1000,3,53,35,0,1,0,0,7,3,27,3,1,1,5,80,27,3,7,1225,1,7,1,0,0,1,0,1
1001,4,69,19,0,1,0,0,7,0,,0,1,0,,,,2,,361,1,7,1,0,0,1,0,0
1002,2,57,31,0,0,0,0,5,3,19,3,1,1,7,74,17,3,7,961,1,5,0,0,0,1,0,1
1003,1,42,46,0,1,0,0,0,8,17,7,1,0,10,54,12,8,4,2116,1,0,0,0,0,1,1,1
1004,7,68,20,0,1,0,0,4,2,17,2,1,0,4,84,15,2,7,400,1,4,0,0,0,0,0,1
1005,6,70,18,0,1,0,0,7,0,,0,1,0,,,,4,,324,1,7,0,0,0,1,0,0
1006,7,57,31,0,0,0,0,7,4,22,4,1,1,11,76,19,6,7,961,1,7,1,0,0,0,0,1
1007,7,54,34,0,1,0,1,0,4,23,4,1,0,11,73,19,6,4,1156,1,0,0,0,0,0,1,1
1008,11,60,27,0,0,0,0,0,2,16,2,1,0,10,82,21,3,0,729,1,0,0,0,0,0,1,1
1009,7,64,24,0,1,0,0,2,3,15,3,1,1,,,,5,,576,1,2,1,0,0,0,0,0
1010,1,66,22,0,0,0,0,6,1,18,1,1,0,6,86,20,5,7,484,1,6,0,0,0,1,0,1
1011,8,52,36,0,1,0,1,7,7,19,7,1,1,10,71,19,7,7,1296,1,7,0,0,1,0,0,1
1012,2,72,16,0,1,0,1,7,0,,0,1,0,,,,3,,256,1,7,0,0,1,1,0,0
1013,6,47,41,0,1,0,1,7,6,21,6,1,1,8,77,30,6,7,1681,1,7,0,0,0,1,0,1
1014,10,71,17,0,1,0,1,10,0,,0,1,0,,,,4,,289,1,10,0,0,0,0,0,0
1015,6,60,28,0,1,0,1,0,2,21,2,1,1,9,76,16,3,7,784,1,0,0,0,0,1,1,1
1016,11,68,19,0,1,0,0,11,0,,0,1,0,,,,4,,361,1,11,0,0,0,0,0,0
1017,5,64,24,0,1,0,0,10,0,,0,1,0,11,86,22,4,10,576,1,10,0,0,0,1,0,1
1018,3,51,37,0,1,0,1,2,8,19,8,1,0,7,71,20,6,0,1369,1,2,0,0,0,1,0,1
1019,3,70,18,0,1,1,0,8,0,,0,1,1,,,,3,,324,1,8,0,1,0,1,0,0
1020,4,58,30,0,0,0,0,5,5,17,5,1,1,9,77,19,5,2,900,1,5,1,0,0,1,0,1
1021,4,68,20,0,1,0,0,10,1,20,1,1,0,8,85,17,4,7,400,1,10,1,0,0,1,0,1
1022,6,70,18,0,1,0,0,7,1,18,1,1,0,,,,4,,324,1,7,0,0,0,1,0,0
1023,4,58,30,0,1,0,1,0,9,11,9,1,1,5,68,10,10,0,900,1,0,1,0,0,1,1,1
1024,2,40,48,1,1,0,0,12,2,26,0,1,0,11,65,25,6,0,2304,1,12,0,1,0,1,0,1
1025,7,68,20,0,0,0,0,4,0,,0,1,0,1,87,18,10,7,400,1,4,0,0,0,0,0,1
1026,11,64,23,0,0,0,0,2,2,17,1,1,0,5,85,20,5,10,529,1,2,0,0,0,0,0,1
1027,4,63,25,1,1,1,0,7,3,14,3,1,1,11,85,22,4,10,625,1,7,0,0,0,1,0,1
1028,6,40,48,0,1,0,0,4,4,15,4,1,0,2,70,29,4,0,2304,1,4,1,0,0,1,0,1
1029,7,72,16,0,1,0,1,9,0,,0,0,0,,,,10,,256,1,9,1,0,0,0,0,0
1030,7,49,39,0,1,0,0,4,6,12,5,1,1,12,80,31,7,7,1521,1,4,0,0,1,0,0,1
1031,2,58,30,0,1,0,0,7,0,,0,1,0,10,87,29,4,,900,1,7,0,1,0,1,0,1
1032,7,62,26,0,1,0,0,8,4,17,3,1,1,1,87,24,4,10,676,1,8,0,0,1,0,0,1
1033,1,56,32,0,1,0,1,3,4,18,4,1,1,2,84,28,6,5,1024,1,3,0,1,0,1,0,1
1034,2,60,28,0,0,0,0,9,2,23,0,1,1,,,,4,,784,1,9,1,0,0,1,0,0
1035,1,65,23,0,0,0,1,7,3,19,3,1,1,1,83,18,6,10,529,1,7,1,0,0,1,0,1
1036,12,65,22,0,1,0,0,7,1,18,1,1,1,,,,4,,484,1,7,1,0,0,0,0,0
1037,7,67,21,0,1,0,0,6,1,17,1,1,1,2,84,16,4,7,441,1,6,0,0,0,0,0,1
1038,6,63,25,0,1,0,0,12,2,21,2,1,1,6,88,25,0,10,625,1,12,1,0,0,1,0,1
1039,3,69,19,0,1,0,0,3,1,17,1,1,0,,,,1,,361,1,3,1,0,0,1,0,0
1040,5,66,22,0,1,0,0,7,2,18,2,1,1,,,,1,,484,1,7,0,0,0,1,0,0
1041,3,70,18,0,1,0,0,6,0,,0,1,0,,,,4,,324,1,6,0,0,1,1,0,0
1042,7,64,24,0,1,0,0,10,0,,0,1,1,,,,2,,576,1,10,1,0,0,0,0,0
1043,9,69,18,0,1,0,0,9,0,,0,1,1,,,,4,,324,1,9,1,0,0,0,0,0
1044,12,57,30,0,0,0,0,0,3,18,3,1,1,,,,4,,900,1,0,1,0,0,0,1,0
1045,8,60,28,0,1,0,0,7,4,18,3,1,1,,,,3,,784,1,7,0,0,0,0,0,0
1046,8,66,22,0,1,0,0,7,2,19,2,1,0,,,,5,,484,1,7,1,0,0,0,0,0
1047,5,51,37,0,1,0,1,0,8,18,8,1,0,11,68,17,8,4,1369,1,0,1,0,0,1,1,1
1048,12,69,18,0,1,0,1,10,0,,0,1,0,,,,2,,324,1,10,1,0,0,0,0,0
1049,6,56,32,0,1,0,0,6,0,,0,1,1,6,79,23,4,7,1024,1,6,1,0,0,1,0,1
1050,6,59,29,0,0,1,0,9,1,23,1,1,0,,,,4,,841,1,9,0,0,1,1,0,0
1051,3,41,47,0,1,0,0,4,5,16,5,1,0,3,85,44,6,7,2209,1,4,1,0,0,1,0,1
1052,4,72,16,0,1,0,0,7,1,16,1,1,0,,,,4,,256,1,7,0,0,0,1,0,0
1053,7,68,20,0,1,0,1,7,1,17,1,1,1,4,86,17,4,10,400,1,7,1,0,0,0,0,1
1054,12,63,24,1,1,0,1,7,1,20,1,1,1,,,,1,,576,1,7,1,0,0,0,0,0
1055,4,57,31,0,1,0,1,0,4,20,4,1,0,6,78,21,4,5,961,1,0,1,0,0,1,1,1
1056,10,69,19,0,1,0,1,10,2,18,2,1,1,,,,5,,361,1,10,1,0,0,0,0,0
1057,4,54,34,0,1,0,1,0,11,16,8,1,0,3,70,15,12,0,1156,1,0,1,0,0,1,1,1
1058,6,61,27,0,1,0,1,0,2,18,2,1,0,,,,,,729,1,0,1,0,0,1,1,0
1059,10,59,29,0,1,0,1,0,6,11,4,1,0,11,69,10,6,10,841,1,0,0,0,0,0,1,1
1060,6,68,20,0,1,0,1,10,1,19,1,1,0,,,,4,,400,1,10,0,0,0,1,0,0
1061,6,58,30,0,1,0,1,4,2,16,2,1,1,6,82,24,3,7,900,1,4,0,0,0,1,0,1
1062,5,62,26,0,1,0,1,5,0,,0,1,0,2,83,20,6,8,676,1,5,0,0,0,1,0,1
1063,6,72,16,0,1,0,1,7,0,,0,1,0,,,,4,,256,1,7,0,1,0,1,0,0
1064,12,62,25,0,1,0,1,7,3,19,3,1,0,,,,4,,625,1,7,1,0,0,0,0,0
1065,10,58,30,0,0,0,0,5,6,16,6,1,1,10,80,22,6,0,900,1,5,1,0,0,0,0,1
1066,5,66,22,0,1,0,1,0,1,22,1,1,0,6,87,21,1,0,484,1,0,0,0,0,1,1,1
1067,3,52,36,0,1,0,0,1,6,19,5,1,1,3,73,21,2,7,1296,1,1,1,0,0,1,0,1
1068,6,70,18,0,1,0,0,7,0,,0,1,0,3,87,16,5,7,324,1,7,1,0,0,1,0,1
1069,6,44,44,0,0,0,0,0,9,16,8,1,1,2,71,26,4,0,1936,1,0,1,0,0,1,1,1
1070,1,71,17,0,0,0,0,7,1,16,1,1,1,,,,2,,289,1,7,1,0,0,1,0,0
1071,7,54,34,0,0,0,0,0,0,,0,1,0,,,,10,,1156,1,0,1,0,0,0,1,0
1072,3,70,18,0,1,0,0,11,0,,0,1,1,,,,2,,324,1,11,0,1,0,1,0,0
1073,10,56,32,0,1,0,0,7,5,16,5,1,1,3,77,20,4,7,1024,1,7,0,1,0,0,0,1
1074,6,58,30,1,1,1,0,12,1,20,1,1,1,,,,2,,900,1,12,0,1,0,1,0,0
1075,6,70,18,1,1,1,0,11,0,,0,1,1,,,,4,,324,1,11,0,1,0,1,0,0
1076,2,58,30,0,1,0,0,10,2,15,2,1,1,10,87,29,4,10,900,1,10,0,0,1,1,0,1
1077,6,40,48,0,1,0,0,7,10,19,9,1,1,9,69,29,10,7,2304,1,7,0,0,1,1,0,1
1078,6,69,19,0,1,0,0,10,0,,0,1,0,,,,4,,361,1,10,0,0,1,1,0,0
1079,3,73,15,0,1,0,0,7,0,,0,1,0,,,,5,,225,1,7,0,0,1,1,0,0
1080,9,58,30,0,1,0,0,8,2,18,2,1,1,,,,2,,900,1,8,0,0,1,0,0,0
1081,12,67,20,1,1,1,1,8,0,,0,1,0,,,,2,,400,1,8,0,1,0,0,0,0
1082,1,73,15,1,1,1,1,8,0,,0,1,0,,,,2,,225,1,8,0,1,0,1,0,0
1083,7,59,29,0,0,0,0,10,8,19,8,1,0,8,84,25,8,10,841,1,10,0,1,0,0,0,1
1084,11,68,19,0,0,0,0,4,1,13,0,1,0,2,88,19,3,10,361,1,4,1,0,0,0,0,1
1085,9,66,21,0,0,0,0,7,2,18,2,1,1,1,88,21,4,7,441,1,7,0,0,0,0,0,1
1086,8,66,22,0,0,0,0,7,2,16,2,1,1,8,84,18,6,7,484,1,7,0,0,0,0,0,1
1087,1,52,36,0,0,0,0,0,6,16,6,1,1,1,84,32,8,4,1296,1,0,0,0,0,1,1,1
1088,12,69,18,0,1,0,0,7,0,,0,1,0,,,,4,,324,1,7,1,0,0,0,0,0
1089,3,72,16,0,1,0,0,8,0,,0,1,0,,,,5,,256,1,8,1,0,0,1,0,0
1090,11,57,30,0,1,0,0,7,3,18,3,1,1,10,76,18,3,,900,1,7,0,1,0,0,0,1
1091,6,53,35,0,1,0,0,7,2,23,2,1,1,11,87,34,3,0,1225,1,7,1,0,0,1,0,1
1092,9,49,38,0,1,0,0,7,6,17,6,1,1,6,80,30,2,7,1444,1,7,1,0,0,0,0,1
1093,8,67,21,0,1,0,0,10,0,,0,1,1,,,,4,,441,1,10,0,0,0,0,0,0
1094,12,61,26,0,1,0,1,10,2,17,2,1,1,,,,5,,676,1,10,1,0,0,0,0,0
1095,6,46,42,0,1,0,1,6,8,18,8,1,1,9,67,21,4,1,1764,1,6,1,0,0,1,0,1
1096,2,70,18,0,1,0,1,9,0,,0,1,0,,,,5,,324,1,9,1,0,0,1,0,0
1097,7,71,17,0,1,0,1,8,0,,0,1,0,,,,3,,289,1,8,1,0,0,0,0,0
1098,12,68,19,0,1,0,1,7,0,,0,1,0,,,,6,,361,1,7,0,0,1,0,0,0
1099,1,52,36,0,0,0,0,7,6,21,5,1,1,,,,6,,1296,1,7,1,0,0,1,0,0
1100,4,72,16,0,1,0,1,5,0,,0,1,0,,,,3,,256,1,5,0,0,0,1,0,0
1101,8,64,24,0,0,0,0,7,1,18,1,1,1,,,,6,,576,1,7,1,0,0,0,0,0
1102,9,64,23,0,0,0,1,7,1,17,1,1,1,,,,4,,529,1,7,0,0,0,0,0,0
1103,9,47,40,0,1,0,1,6,4,21,4,1,1,10,73,26,5,7,1600,1,6,1,0,0,0,0,1
1104,11,60,27,0,1,0,0,6,1,18,1,1,0,,,,8,,729,1,6,1,0,0,0,0,0
1105,9,46,41,0,1,0,0,6,6,23,6,1,1,7,65,18,6,9,1681,1,6,0,1,0,0,0,1
1106,9,66,21,0,1,1,1,10,1,21,1,1,0,,,,4,,441,1,10,0,0,0,0,0,0
1107,8,72,16,0,1,1,1,7,0,,0,1,0,,,,2,,256,1,7,0,1,0,0,0,0
1108,5,71,17,0,1,1,1,7,0,,0,1,0,,,,5,,289,1,7,0,1,0,1,0,0
1109,9,47,40,0,1,0,1,7,9,16,7,1,0,6,60,12,7,7,1600,1,7,0,0,1,0,0,1
1110,11,72,15,0,1,0,0,7,1,15,0,1,1,,,,3,,225,1,7,0,0,1,0,0,0
1111,10,70,17,0,1,0,0,10,0,,0,1,1,,,,4,,289,1,10,1,0,0,0,0,0
1112,7,57,31,0,1,0,0,0,5,18,5,1,0,6,72,14,5,7,961,1,0,1,0,0,0,1,1
1113,2,45,43,0,0,0,0,0,2,18,2,0,0,11,68,23,,7,1849,1,0,0,0,1,1,1,1
1114,5,72,16,0,1,0,1,7,1,16,1,1,1,,,,6,,256,1,7,0,0,0,1,0,0
1115,3,61,27,0,1,0,1,0,4,18,4,1,1,8,74,13,5,2,729,1,0,0,0,0,1,1,1
1116,4,50,38,0,1,0,0,7,3,20,3,1,1,,,,6,,1444,1,7,0,0,1,1,0,0
1117,9,70,17,0,1,0,0,7,0,,0,1,0,,,,2,,289,1,7,0,0,1,0,0,0
1118,6,45,43,0,0,0,0,0,8,19,7,1,1,7,64,19,3,5,1849,1,0,1,0,0,1,1,1
1119,6,61,27,0,0,0,0,10,2,20,2,1,1,,,,2,,729,1,10,1,0,0,1,0,0
1120,11,70,17,0,0,0,0,6,0,,0,1,0,,,,4,,289,1,6,1,0,0,0,0,0
1121,6,70,18,0,1,0,1,4,0,,0,1,0,,,,2,,324,1,4,1,0,0,1,0,0
1122,2,72,16,0,1,0,1,8,0,,0,1,0,,,,2,,256,1,8,1,0,0,1,0,0
1123,6,56,32,0,1,0,1,7,3,17,3,1,1,,,,4,,1024,1,7,1,0,0,1,0,0
1124,9,67,20,0,0,0,1,7,0,,0,1,0,12,84,17,4,7,400,1,7,1,0,0,0,0,1
1125,5,59,29,0,1,0,1,7,2,16,1,1,0,5,75,16,4,10,841,1,7,1,0,0,1,0,1
1126,11,46,41,0,0,0,1,3,6,26,4,1,1,8,62,15,3,10,1681,1,3,1,0,0,0,0,1
1127,8,47,41,0,1,0,0,1,8,14,7,1,1,9,63,16,6,0,1681,1,1,1,0,0,0,0,1
1128,8,55,33,0,1,0,0,5,7,18,7,1,0,12,74,19,5,3,1089,1,5,1,0,0,0,0,1
