,mnthborn,yearborn,age,electric,radio,tv,bicycle,educ,ceb,agefbrth,children,knowmeth,usemeth,monthfm,yearfm,agefm,idlnchld,heduc,agesq,urban,urbeduc,spirit,protest,catholic,frsthalf,educ0,evermarr
3319,2.0,49.0,39.0,0.0,1.0,0.0,0.0,0.0,7.0,17.0,7.0,1.0,1.0,1.0,87.0,19.0,5.0,0.0,1521.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
194,5.0,60.0,28.0,1.0,1.0,1.0,0.0,12.0,0.0,18.0,0.0,1.0,1.0,11.0,87.0,27.0,2.0,12.0,784.0,1.0,12.0,0.0,1.0,0.0,1.0,0.0,1.0
2496,2.0,46.0,42.0,0.0,1.0,0.0,0.0,2.0,4.0,16.0,3.0,1.0,1.0,2.0,82.0,36.0,5.0,0.0,1764.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
3174,9.0,67.0,21.0,0.0,1.0,0.0,0.0,10.0,0.0,18.0,0.0,1.0,0.0,1.0,87.0,19.0,6.0,0.0,441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2298,8.0,43.0,45.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,3.0,1.0,1.0,1.0,87.0,19.0,3.0,0.0,2025.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3311,6.0,64.0,24.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,2.0,1.0,1.0,3.0,84.0,19.0,2.0,0.0,576.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1438,1.0,68.0,20.0,0.0,1.0,0.0,0.0,0.0,2.0,14.0,2.0,1.0,1.0,3.0,81.0,13.0,4.0,10.0,400.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
1427,4.0,54.0,34.0,1.0,1.0,0.0,1.0,7.0,3.0,20.0,3.0,1.0,1.0,5.0,76.0,22.0,6.0,7.0,1156.0,1.0,7.0,0.0,1.0,0.0,1.0,0.0,1.0
2470,1.0,44.0,44.0,0.0,0.0,0.0,0.0,2.0,1.0,20.0,1.0,1.0,0.0,1.0,87.0,19.0,4.0,0.0,1936.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
222,1.0,58.0,30.0,1.0,1.0,1.0,0.0,9.0,2.0,19.0,2.0,1.0,1.0,1.0,87.0,19.0,4.0,0.0,900.0,1.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0
3970,9.0,61.0,26.0,0.0,1.0,0.0,1.0,10.0,2.0,19.0,2.0,1.0,1.0,1.0,87.0,19.0,4.0,0.0,676.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
573,1.0,56.0,32.0,0.0,0.0,0.0,0.0,7.0,6.0,19.0,6.0,1.0,1.0,12.0,75.0,19.0,6.0,7.0,1024.0,1.0,7.0,1.0,0.0,0.0,1.0,0.0,1.0
2620,2.0,51.0,37.0,0.0,0.0,0.0,1.0,3.0,8.0,20.0,6.0,1.0,0.0,2.0,69.0,18.0,5.0,0.0,1369.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
1723,3.0,60.0,28.0,1.0,1.0,0.0,0.0,7.0,4.0,17.0,4.0,1.0,0.0,1.0,76.0,15.0,6.0,5.0,784.0,1.0,7.0,0.0,1.0,0.0,1.0,0.0,1.0
418,10.0,46.0,42.0,1.0,1.0,1.0,0.0,5.0,6.0,19.0,6.0,1.0,1.0,7.0,65.0,18.0,4.0,12.0,1764.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0
1507,1.0,72.0,16.0,0.0,1.0,0.0,0.0,1.0,0.0,18.0,0.0,1.0,0.0,1.0,87.0,19.0,1.0,0.0,256.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
257,9.0,44.0,44.0,0.0,1.0,1.0,0.0,5.0,3.0,15.0,3.0,1.0,1.0,1.0,87.0,19.0,3.0,0.0,1936.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
295,1.0,56.0,32.0,0.0,1.0,0.0,0.0,10.0,3.0,21.0,3.0,1.0,1.0,12.0,77.0,21.0,4.0,7.0,1024.0,1.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0
1370,6.0,70.0,18.0,0.0,1.0,0.0,1.0,8.0,0.0,18.0,0.0,1.0,1.0,1.0,87.0,19.0,6.0,0.0,324.0,1.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0
3564,2.0,70.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,1.0,87.0,19.0,1.0,0.0,324.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
3471,7.0,42.0,46.0,0.0,1.0,0.0,0.0,5.0,4.0,17.0,4.0,1.0,1.0,10.0,79.0,37.0,4.0,4.0,2116.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2304,6.0,65.0,23.0,0.0,1.0,0.0,0.0,15.0,0.0,18.0,0.0,1.0,1.0,1.0,87.0,19.0,3.0,0.0,529.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
3549,1.0,70.0,18.0,0.0,1.0,0.0,0.0,7.0,0.0,18.0,0.0,1.0,0.0,1.0,87.0,19.0,2.0,0.0,324.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
712,2.0,60.0,28.0,0.0,0.0,0.0,0.0,7.0,3.0,19.0,3.0,1.0,1.0,2.0,79.0,19.0,4.0,7.0,784.0,1.0,7.0,1.0,0.0,0.0,1.0,0.0,1.0
1739,3.0,72.0,16.0,0.0,0.0,0.0,0.0,6.0,0.0,18.0,0.0,0.0,0.0,1.0,87.0,19.0,6.0,0.0,256.0,1.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0
2436,10.0,71.0,16.0,1.0,1.0,0.0,0.0,11.0,0.0,18.0,0.0,1.0,0.0,1.0,87.0,19.0,2.0,0.0,256.0,1.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0
3004,4.0,68.0,20.0,0.0,1.0,0.0,0.0,10.0,0.0,18.0,0.0,1.0,0.0,1.0,87.0,19.0,6.0,0.0,400.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
449,5.0,62.0,26.0,0.0,0.0,0.0,0.0,9.0,0.0,18.0,0.0,1.0,1.0,5.0,83.0,21.0,6.0,10.0,676.0,1.0,9.0,0.0,1.0,0.0,1.0,0.0,1.0
2022,8.0,46.0,42.0,0.0,0.0,0.0,0.0,6.0,8.0,22.0,7.0,1.0,1.0,8.0,75.0,29.0,6.0,4.0,1764.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0
2085,10.0,63.0,24.0,0.0,1.0,0.0,0.0,10.0,1.0,15.0,1.0,1.0,1.0,1.0,87.0,19.0,4.0,0.0,576.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
958,10.0,51.0,37.0,0.0,0.0,0.0,1.0,0.0,2.0,15.0,1.0,1.0,0.0,6.0,68.0,16.0,4.0,0.0,1369.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
1216,12.0,72.0,15.0,0.0,1.0,0.0,0.0,7.0,0.0,18.0,0.0,0.0,0.0,1.0,87.0,19.0,5.0,0.0,225.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
654,12.0,68.0,19.0,0.0,0.0,0.0,0.0,7.0,1.0,18.0,1.0,1.0,1.0,1.0,87.0,19.0,4.0,0.0,361.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
3280,6.0,47.0,41.0,0.0,1.0,0.0,0.0,1.0,0.0,18.0,0.0,1.0,0.0,8.0,76.0,29.0,4.0,0.0,1681.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1228,1.0,69.0,19.0,0.0,1.0,0.0,0.0,8.0,1.0,15.0,1.0,1.0,1.0,1.0,87.0,19.0,4.0,0.0,361.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0
411,2.0,58.0,30.0,0.0,0.0,0.0,1.0,8.0,5.0,12.0,5.0,1.0,0.0,7.0,80.0,22.0,6.0,12.0,900.0,1.0,8.0,0.0,0.0,1.0,1.0,0.0,1.0
2185,7.0,55.0,33.0,0.0,1.0,0.0,0.0,7.0,4.0,22.0,3.0,1.0,1.0,3.0,75.0,19.0,8.0,0.0,1089.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1609,3.0,57.0,31.0,0.0,0.0,0.0,0.0,4.0,6.0,18.0,6.0,1.0,1.0,8.0,77.0,20.0,6.0,0.0,961.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0
1961,5.0,54.0,34.0,1.0,1.0,1.0,0.0,3.0,7.0,19.0,7.0,1.0,0.0,9.0,74.0,20.0,7.0,8.0,1156.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0
4228,4.0,45.0,43.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,6.0,0.0,0.0,3.0,61.0,15.0,10.0,0.0,1849.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
2600,5.0,42.0,46.0,0.0,1.0,0.0,0.0,0.0,2.0,21.0,2.0,0.0,0.0,4.0,76.0,33.0,10.0,2.0,2116.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3809,11.0,62.0,25.0,0.0,1.0,0.0,1.0,7.0,3.0,17.0,3.0,1.0,1.0,3.0,83.0,20.0,6.0,5.0,625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2732,12.0,46.0,41.0,0.0,0.0,0.0,0.0,0.0,7.0,25.0,6.0,1.0,0.0,4.0,70.0,23.0,4.0,0.0,1681.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
430,9.0,70.0,18.0,0.0,1.0,0.0,0.0,7.0,0.0,18.0,0.0,1.0,0.0,1.0,87.0,19.0,4.0,0.0,324.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
2227,6.0,52.0,36.0,0.0,1.0,0.0,1.0,2.0,5.0,17.0,4.0,1.0,0.0,1.0,70.0,17.0,4.0,0.0,1296.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
1189,2.0,69.0,19.0,1.0,1.0,1.0,0.0,6.0,1.0,18.0,1.0,1.0,0.0,6.0,86.0,17.0,1.0,7.0,361.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0
2174,8.0,57.0,31.0,0.0,1.0,1.0,0.0,7.0,1.0,24.0,1.0,1.0,1.0,1.0,87.0,19.0,6.0,0.0,961.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1815,1.0,60.0,28.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,3.0,1.0,1.0,6.0,75.0,15.0,5.0,7.0,784.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
4296,7.0,44.0,44.0,0.0,1.0,0.0,1.0,0.0,4.0,16.0,4.0,0.0,0.0,6.0,59.0,14.0,14.0,0.0,1936.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
102,7.0,41.0,47.0,1.0,0.0,0.0,0.0,4.0,5.0,22.0,5.0,1.0,1.0,4.0,62.0,20.0,2.0,0.0,2209.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0
3443,9.0,70.0,18.0,0.0,1.0,0.0,1.0,7.0,2.0,15.0,2.0,1.0,0.0,1.0,87.0,19.0,2.0,0.0,324.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3065,5.0,52.0,36.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,8.0,1.0,0.0,11.0,69.0,17.0,4.0,6.0,1296.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2329,8.0,69.0,19.0,0.0,1.0,0.0,0.0,7.0,1.0,17.0,1.0,1.0,0.0,1.0,87.0,19.0,3.0,0.0,361.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2095,11.0,60.0,27.0,0.0,1.0,0.0,0.0,7.0,4.0,17.0,4.0,1.0,0.0,12.0,79.0,19.0,4.0,7.0,729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2519,3.0,63.0,25.0,0.0,1.0,0.0,1.0,7.0,2.0,21.0,2.0,1.0,1.0,1.0,87.0,19.0,4.0,0.0,625.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1592,1.0,59.0,29.0,0.0,1.0,0.0,0.0,10.0,1.0,27.0,1.0,1.0,1.0,1.0,87.0,19.0,2.0,0.0,841.0,1.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0
1340,8.0,72.0,16.0,0.0,1.0,0.0,0.0,4.0,0.0,18.0,0.0,1.0,0.0,1.0,87.0,19.0,5.0,0.0,256.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
3608,8.0,64.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,23.0,1.0,1.0,1.0,1.0,87.0,19.0,4.0,0.0,576.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2587,9.0,71.0,16.0,0.0,1.0,0.0,0.0,7.0,0.0,18.0,0.0,1.0,0.0,1.0,87.0,19.0,3.0,0.0,256.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3883,8.0,55.0,33.0,1.0,1.0,0.0,0.0,12.0,0.0,18.0,0.0,1.0,1.0,2.0,86.0,30.0,4.0,12.0,1089.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1886,4.0,63.0,25.0,0.0,1.0,0.0,0.0,7.0,2.0,19.0,2.0,1.0,0.0,1.0,87.0,23.0,4.0,7.0,625.0,1.0,7.0,1.0,0.0,0.0,1.0,0.0,1.0
1064,12.0,62.0,25.0,0.0,1.0,0.0,1.0,7.0,3.0,19.0,3.0,1.0,0.0,1.0,87.0,19.0,4.0,0.0,625.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
1588,10.0,72.0,16.0,0.0,1.0,0.0,0.0,9.0,0.0,18.0,0.0,1.0,0.0,1.0,87.0,19.0,4.0,0.0,256.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0
818,9.0,70.0,18.0,0.0,0.0,0.0,0.0,7.0,0.0,18.0,0.0,1.0,0.0,1.0,87.0,19.0,2.0,0.0,324.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
1894,6.0,65.0,23.0,1.0,1.0,0.0,1.0,2.0,2.0,16.0,2.0,1.0,1.0,9.0,82.0,17.0,4.0,7.0,529.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0
2377,1.0,39.0,49.0,0.0,0.0,0.0,1.0,0.0,9.0,18.0,9.0,1.0,1.0,1.0,55.0,16.0,6.0,0.0,2401.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
816,2.0,60.0,28.0,0.0,1.0,0.0,0.0,7.0,3.0,17.0,3.0,1.0,1.0,1.0,87.0,19.0,4.0,0.0,784.0,1.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0
3379,11.0,69.0,18.0,1.0,0.0,0.0,0.0,7.0,0.0,18.0,0.0,1.0,0.0,1.0,87.0,19.0,5.0,0.0,324.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1995,3.0,63.0,25.0,0.0,1.0,0.0,0.0,7.0,1.0,18.0,1.0,1.0,1.0,5.0,86.0,23.0,6.0,6.0,625.0,1.0,7.0,0.0,1.0,0.0,1.0,0.0,1.0
2290,1.0,64.0,24.0,0.0,1.0,0.0,0.0,7.0,2.0,17.0,2.0,1.0,1.0,1.0,87.0,23.0,3.0,0.0,576.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
2680,12.0,53.0,34.0,0.0,1.0,0.0,1.0,6.0,5.0,20.0,5.0,1.0,0.0,10.0,73.0,19.0,6.0,0.0,1156.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
4046,1.0,68.0,20.0,0.0,1.0,0.0,1.0,11.0,1.0,19.0,1.0,1.0,1.0,1.0,87.0,19.0,4.0,0.0,400.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2086,6.0,68.0,20.0,0.0,1.0,0.0,1.0,8.0,1.0,16.0,1.0,1.0,1.0,1.0,87.0,19.0,2.0,0.0,400.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1563,3.0,41.0,47.0,0.0,1.0,0.0,0.0,2.0,6.0,20.0,6.0,1.0,1.0,9.0,74.0,33.0,6.0,2.0,2209.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0
864,11.0,46.0,41.0,0.0,1.0,1.0,0.0,13.0,2.0,24.0,2.0,1.0,1.0,12.0,83.0,37.0,3.0,10.0,1681.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0
2672,9.0,68.0,20.0,0.0,1.0,0.0,0.0,5.0,0.0,18.0,0.0,1.0,0.0,1.0,87.0,19.0,6.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2407,8.0,63.0,25.0,0.0,0.0,0.0,0.0,9.0,2.0,17.0,1.0,1.0,1.0,1.0,87.0,19.0,4.0,0.0,625.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
554,1.0,67.0,21.0,0.0,1.0,0.0,1.0,7.0,1.0,16.0,1.0,1.0,1.0,1.0,87.0,20.0,6.0,0.0,441.0,1.0,7.0,0.0,0.0,1.0,1.0,0.0,1.0
1207,4.0,63.0,25.0,0.0,1.0,0.0,1.0,6.0,1.0,15.0,1.0,1.0,1.0,1.0,87.0,19.0,6.0,0.0,625.0,1.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0
1545,1.0,40.0,48.0,0.0,1.0,0.0,0.0,0.0,11.0,22.0,10.0,1.0,1.0,1.0,61.0,21.0,8.0,0.0,2304.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
2727,10.0,59.0,28.0,0.0,1.0,0.0,0.0,0.0,2.0,24.0,2.0,1.0,0.0,7.0,83.0,23.0,6.0,1.0,784.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3523,6.0,56.0,32.0,0.0,1.0,0.0,0.0,6.0,2.0,20.0,2.0,1.0,1.0,11.0,86.0,30.0,4.0,5.0,1024.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
3725,11.0,67.0,20.0,0.0,1.0,0.0,1.0,10.0,0.0,18.0,0.0,1.0,0.0,7.0,88.0,20.0,6.0,7.0,400.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
748,8.0,52.0,36.0,0.0,1.0,0.0,0.0,1.0,4.0,20.0,3.0,1.0,1.0,6.0,83.0,30.0,4.0,0.0,1296.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1258,7.0,58.0,30.0,0.0,0.0,0.0,0.0,4.0,4.0,18.0,4.0,1.0,1.0,8.0,83.0,25.0,5.0,7.0,900.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0
866,7.0,68.0,20.0,0.0,1.0,0.0,0.0,10.0,2.0,17.0,2.0,1.0,0.0,1.0,87.0,19.0,4.0,0.0,400.0,1.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0
752,12.0,66.0,21.0,0.0,0.0,0.0,0.0,7.0,1.0,19.0,1.0,1.0,1.0,1.0,87.0,19.0,4.0,0.0,441.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
3470,6.0,64.0,24.0,0.0,1.0,0.0,0.0,7.0,2.0,19.0,2.0,1.0,0.0,10.0,86.0,22.0,6.0,7.0,576.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
2155,2.0,55.0,33.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,0.0,1.0,1.0,1.0,87.0,19.0,4.0,0.0,1089.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
3845,6.0,56.0,32.0,0.0,1.0,0.0,1.0,6.0,6.0,18.0,6.0,1.0,1.0,12.0,73.0,17.0,6.0,7.0,1024.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
2256,12.0,65.0,22.0,0.0,1.0,0.0,0.0,10.0,0.0,18.0,0.0,1.0,1.0,1.0,87.0,19.0,4.0,0.0,484.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
729,1.0,68.0,20.0,0.0,1.0,0.0,0.0,4.0,1.0,18.0,1.0,1.0,1.0,3.0,88.0,20.0,2.0,0.0,400.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0
2078,5.0,60.0,28.0,0.0,1.0,0.0,0.0,7.0,4.0,18.0,4.0,1.0,1.0,5.0,77.0,17.0,6.0,0.0,784.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2333,8.0,51.0,37.0,0.0,1.0,0.0,0.0,0.0,3.0,19.0,2.0,1.0,0.0,1.0,87.0,19.0,4.0,0.0,1369.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1652,7.0,60.0,28.0,1.0,1.0,0.0,0.0,15.0,2.0,20.0,2.0,1.0,1.0,8.0,76.0,16.0,4.0,12.0,784.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0
1421,12.0,68.0,19.0,1.0,1.0,1.0,0.0,5.0,0.0,18.0,0.0,1.0,0.0,1.0,87.0,19.0,2.0,0.0,361.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
1110,11.0,72.0,15.0,0.0,1.0,0.0,0.0,7.0,1.0,15.0,0.0,1.0,1.0,1.0,87.0,19.0,3.0,0.0,225.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0
3192,12.0,52.0,35.0,0.0,1.0,0.0,0.0,7.0,3.0,26.0,3.0,1.0,1.0,1.0,87.0,19.0,4.0,0.0,1225.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
346,8.0,56.0,32.0,0.0,0.0,1.0,0.0,7.0,5.0,16.0,4.0,1.0,1.0,1.0,81.0,24.0,2.0,10.0,1024.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0
3046,4.0,41.0,47.0,0.0,1.0,0.0,0.0,8.0,6.0,20.0,6.0,1.0,1.0,11.0,62.0,21.0,4.0,12.0,2209.0,1.0,8.0,0.0,1.0,0.0,1.0,0.0,1.0
4049,12.0,62.0,25.0,0.0,1.0,0.0,1.0,7.0,3.0,17.0,3.0,1.0,1.0,6.0,79.0,16.0,5.0,7.0,625.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
578,3.0,73.0,15.0,0.0,1.0,1.0,0.0,8.0,1.0,15.0,1.0,1.0,0.0,1.0,87.0,19.0,4.0,0.0,225.0,1.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0
3818,9.0,56.0,32.0,0.0,0.0,0.0,0.0,4.0,4.0,22.0,4.0,1.0,1.0,8.0,87.0,30.0,8.0,7.0,1024.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2991,8.0,58.0,30.0,0.0,0.0,0.0,0.0,8.0,2.0,17.0,2.0,1.0,0.0,1.0,87.0,19.0,4.0,0.0,900.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2024,2.0,64.0,24.0,0.0,0.0,0.0,0.0,12.0,1.0,19.0,1.0,1.0,1.0,1.0,87.0,19.0,3.0,0.0,576.0,1.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0
2104,4.0,55.0,33.0,0.0,1.0,0.0,1.0,6.0,5.0,22.0,5.0,1.0,1.0,1.0,76.0,20.0,6.0,6.0,1089.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
1643,11.0,56.0,31.0,1.0,1.0,1.0,1.0,12.0,3.0,22.0,3.0,1.0,1.0,3.0,73.0,16.0,3.0,15.0,961.0,1.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0
178,8.0,65.0,23.0,1.0,1.0,1.0,1.0,9.0,1.0,20.0,1.0,0.0,0.0,11.0,82.0,17.0,10.0,0.0,529.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0
3708,7.0,62.0,26.0,0.0,0.0,0.0,1.0,0.0,3.0,15.0,3.0,1.0,0.0,10.0,76.0,14.0,4.0,0.0,676.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
4028,8.0,72.0,16.0,0.0,1.0,0.0,1.0,10.0,0.0,18.0,0.0,1.0,1.0,1.0,87.0,19.0,2.0,0.0,256.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1832,2.0,62.0,26.0,0.0,1.0,0.0,1.0,13.0,2.0,18.0,2.0,1.0,1.0,1.0,79.0,16.0,2.0,7.0,676.0,1.0,13.0,0.0,0.0,0.0,1.0,0.0,1.0
1602,3.0,58.0,30.0,0.0,1.0,0.0,0.0,6.0,0.0,18.0,0.0,1.0,0.0,11.0,82.0,24.0,4.0,5.0,900.0,1.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0
604,10.0,68.0,20.0,0.0,0.0,0.0,0.0,7.0,1.0,18.0,1.0,1.0,1.0,1.0,87.0,19.0,6.0,0.0,400.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
1222,6.0,71.0,17.0,1.0,1.0,0.0,1.0,7.0,0.0,18.0,0.0,1.0,0.0,1.0,87.0,19.0,2.0,0.0,289.0,1.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0
25,6.0,45.0,43.0,1.0,1.0,1.0,1.0,16.0,2.0,23.0,2.0,1.0,1.0,5.0,68.0,22.0,4.0,15.0,1849.0,1.0,16.0,0.0,1.0,0.0,1.0,0.0,1.0
658,11.0,60.0,28.0,0.0,1.0,0.0,0.0,10.0,3.0,20.0,3.0,1.0,0.0,1.0,80.0,19.0,4.0,6.0,784.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0
2532,11.0,63.0,24.0,0.0,1.0,0.0,1.0,5.0,3.0,15.0,3.0,1.0,0.0,7.0,83.0,19.0,4.0,0.0,576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2292,3.0,66.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,0.0,1.0,87.0,19.0,1.0,0.0,484.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
173,9.0,63.0,25.0,1.0,1.0,1.0,0.0,9.0,2.0,19.0,2.0,1.0,1.0,4.0,85.0,21.0,5.0,10.0,625.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0
3551,3.0,65.0,23.0,0.0,1.0,0.0,1.0,7.0,1.0,21.0,1.0,1.0,1.0,11.0,87.0,22.0,6.0,0.0,529.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
331,9.0,59.0,29.0,1.0,1.0,1.0,0.0,14.0,3.0,17.0,3.0,1.0,1.0,7.0,75.0,15.0,4.0,16.0,841.0,1.0,14.0,0.0,1.0,0.0,0.0,0.0,1.0
342,9.0,53.0,35.0,0.0,1.0,0.0,0.0,0.0,3.0,18.0,3.0,1.0,1.0,1.0,87.0,19.0,4.0,0.0,1225.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
3540,3.0,73.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1.0,87.0,19.0,2.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1088,12.0,69.0,18.0,0.0,1.0,0.0,0.0,7.0,0.0,18.0,0.0,1.0,0.0,1.0,87.0,19.0,4.0,0.0,324.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
